,Species,Country_of_Origin,Harvest_Year,Variety,Processing_Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Cupper_Points,Moisture,Category_One_Defects,Color,Category_Two_Defects,Certification_Body,altitude_mean_meters,Total_Cup_Points,Points_Tiers
221,Arabica,"Tanzania, United Republic Of",2014,Other,Washed/Wet,7.92,7.75,7.75,7.75,7.75,7.58,10.0,10.0,10.0,7.67,0.13,0,Green,0,Africa Fine Coffee Association,1400.0,84.17,Good Specialty
222,Arabica,Colombia,2015,Other,Washed/Wet,7.67,7.5,7.67,7.42,7.83,8.58,10.0,10.0,10.0,7.5,0.12,0,Green,4,Almacafé,1530.0,84.17,Good Specialty
224,Arabica,Kenya,2013,SL28,Washed/Wet,7.58,7.75,7.75,7.75,7.75,7.83,10.0,10.0,10.0,7.75,0.08,0,Green,0,Kenya Coffee Traders Association,250.5,84.17,Good Specialty
225,Arabica,Brazil,2012,Mundo Novo,Natural/Dry,7.58,7.83,7.75,7.67,7.67,8.0,10.0,10.0,10.0,7.67,0.11,0,Green,3,Specialty Coffee Association,1038.5,84.17,Good Specialty
226,Arabica,Guatemala,2013,Bourbon,Washed/Wet,7.92,7.75,7.67,7.67,7.83,7.92,10.0,10.0,10.0,7.42,0.11,0,Green,4,Asociacion Nacional Del Café,1310.64,84.17,Good Specialty
227,Arabica,El Salvador,2013,Bourbon,Natural/Dry,8.42,8.08,7.5,7.17,7.58,8.17,9.33,10.0,10.0,7.92,0.11,0,Bluish-Green,2,Specialty Coffee Association,1500.0,84.17,Good Specialty
228,Arabica,Colombia,2012,Caturra,Washed/Wet,7.75,7.75,7.75,7.75,7.83,7.75,10.0,10.0,10.0,7.58,0.0,0,Green,2,Almacafé,1750.0,84.17,Good Specialty
230,Arabica,Uganda,2012,Other,Washed/Wet,7.83,7.75,7.5,7.83,7.83,7.75,10.0,10.0,10.0,7.67,0.11,0,Green,1,Africa Fine Coffee Association,1600.0,84.17,Good Specialty
232,Arabica,Colombia,2018,Caturra,Washed/Wet,7.83,7.5,7.42,7.5,7.83,8.5,10.0,10.0,10.0,7.5,0.0,1,Green,3,Almacafé,442.0,84.08,Good Specialty
233,Arabica,Taiwan,2016,Typica,Washed/Wet,7.58,7.67,7.67,7.67,7.75,7.83,10.0,10.0,10.0,7.92,0.1,0,Bluish-Green,4,Specialty Coffee Association,968.0,84.08,Good Specialty
236,Arabica,Guatemala,2014,Bourbon,Washed/Wet,7.58,7.75,7.67,8.0,7.75,7.67,10.0,10.0,10.0,7.67,0.1,0,Bluish-Green,10,Specialty Coffee Association,1550.0,84.08,Good Specialty
238,Arabica,Mexico,2012,Typica,Washed/Wet,7.67,7.75,7.67,7.75,7.67,7.75,10.0,10.0,10.0,7.83,0.11,1,Green,10,AMECAFE,1480.0,84.08,Good Specialty
241,Arabica,Ethiopia,2017,Gesha,Natural/Dry,7.83,7.75,7.67,7.75,7.33,7.75,10.0,10.0,10.0,7.92,0.11,3,Green,1,Uganda Coffee Development Authority,1800.0,84.0,Good Specialty
242,Arabica,Honduras,2017,Caturra,Washed/Wet,7.42,7.83,7.75,7.92,7.75,7.58,10.0,10.0,10.0,7.75,0.1,0,Green,5,Instituto Hondureño del Café,1500.0,84.0,Good Specialty
243,Arabica,Guatemala,2015,Caturra,Washed/Wet,7.67,7.83,7.58,7.92,7.75,7.67,10.0,10.0,10.0,7.58,0.12,0,Green,7,Asociacion Nacional Del Café,1706.88,84.0,Good Specialty
244,Arabica,Colombia,2015,Other,Washed/Wet,7.67,7.67,7.83,7.58,7.58,7.83,10.0,10.0,10.0,7.83,0.11,2,Green,7,Almacafé,1600.0,84.0,Good Specialty
245,Arabica,Guatemala,2014,Bourbon,Natural/Dry,7.92,7.67,7.42,7.92,7.75,7.83,10.0,10.0,10.0,7.5,0.1,0,Green,1,Asociacion Nacional Del Café,1219.2,84.0,Good Specialty
246,Arabica,Guatemala,2014,Bourbon,Other,7.75,7.83,7.5,7.83,7.58,7.67,10.0,10.0,10.0,7.83,0.1,0,Green,0,Asociacion Nacional Del Café,1219.2,84.0,Good Specialty
248,Arabica,Colombia,2014,Caturra,Natural/Dry,7.58,7.42,7.75,7.92,7.75,7.92,10.0,10.0,10.0,7.67,0.12,0,Green,0,Almacafé,1450.0,84.0,Good Specialty
249,Arabica,Colombia,2014,Caturra,Washed/Wet,7.67,7.67,7.5,7.5,7.67,7.67,10.0,10.0,10.0,8.33,0.12,0,Green,3,Almacafé,1775.0,84.0,Good Specialty
250,Arabica,Ethiopia,2013,Other,Natural/Dry,7.75,7.75,7.5,7.58,7.67,7.92,10.0,10.0,10.0,7.83,0.09,4,Green,40,Specialty Coffee Association,1550.0,84.0,Good Specialty
251,Arabica,Brazil,2014,Yellow Bourbon,Natural/Dry,7.58,7.83,7.67,7.25,8.0,7.75,10.0,10.0,10.0,7.92,0.1,0,Green,0,Specialty Coffee Association,1260.0,84.0,Good Specialty
252,Arabica,Colombia,2013,Caturra,Washed/Wet,7.67,7.83,7.67,7.75,7.67,7.75,10.0,10.0,10.0,7.67,0.11,0,Green,1,Almacafé,1700.0,84.0,Good Specialty
253,Arabica,Kenya,2012,SL34,Washed/Wet,7.67,7.83,7.5,7.75,7.92,7.67,10.0,10.0,10.0,7.67,0.0,0,Green,2,Kenya Coffee Traders Association,1200.0,84.0,Good Specialty
255,Arabica,Kenya,2012,SL28,Washed/Wet,7.67,7.75,7.67,7.75,7.83,7.67,10.0,10.0,10.0,7.67,0.0,0,Bluish-Green,0,Kenya Coffee Traders Association,1650.0,84.0,Good Specialty
256,Arabica,Uganda,2012,Other,Washed/Wet,7.92,7.75,7.58,7.67,7.67,7.83,10.0,10.0,10.0,7.58,0.1,10,Green,26,Africa Fine Coffee Association,1700.0,84.0,Good Specialty
258,Arabica,Brazil,2018,Bourbon,Natural/Dry,7.5,7.75,7.58,7.5,7.58,7.5,10.0,10.0,10.0,8.5,0.0,0,Green,3,Brazil Specialty Coffee Association,890.0,83.92,Good Specialty
259,Arabica,Mexico,2017,Mundo Novo,Washed/Wet,7.83,7.83,7.58,7.92,7.42,7.5,10.0,10.0,10.0,7.83,0.11,0,Green,5,Centro Agroecológico del Café A.C.,1300.0,83.92,Good Specialty
260,Arabica,Thailand,2015,Catimor,Natural/Dry,7.67,7.75,7.5,7.67,7.67,7.83,10.0,10.0,10.0,7.83,0.1,0,Bluish-Green,1,Specialty Coffee Association,1350.0,83.92,Good Specialty
261,Arabica,Brazil,2016,Bourbon,Natural/Dry,7.58,7.67,7.67,7.75,7.58,7.83,10.0,10.0,10.0,7.83,0.11,0,Green,7,Brazil Specialty Coffee Association,934.0,83.92,Good Specialty
262,Arabica,Taiwan,2015,Typica,Washed/Wet,7.83,7.75,7.83,7.75,7.83,7.75,9.33,10.0,10.0,7.83,0.11,0,Green,3,Specialty Coffee Association,1200.0,83.92,Good Specialty
268,Arabica,Colombia,2014,Caturra,Washed/Wet,7.75,7.58,7.67,7.83,7.83,7.67,10.0,10.0,10.0,7.58,0.0,0,Green,1,Almacafé,1775.0,83.92,Good Specialty
269,Arabica,Taiwan,2014,Typica,Washed/Wet,8.0,7.92,7.92,7.92,7.67,7.33,10.0,10.0,10.0,7.17,0.06,0,Green,0,Blossom Valley International,950.0,83.92,Good Specialty
270,Arabica,Colombia,2014,Caturra,Natural/Dry,7.67,7.83,7.67,7.75,7.67,7.83,10.0,10.0,10.0,7.5,0.12,0,Green,3,Almacafé,1550.0,83.92,Good Specialty
271,Arabica,Mexico,2012,Typica,Washed/Wet,7.67,7.75,7.58,7.67,7.75,7.83,10.0,10.0,10.0,7.67,0.12,10,Blue-Green,32,AMECAFE,900.0,83.92,Good Specialty
273,Arabica,Mexico,2012,Typica,Washed/Wet,7.75,7.92,7.83,7.92,7.75,7.67,9.33,10.0,10.0,7.75,0.0,0,Green,2,AMECAFE,1400.0,83.92,Good Specialty
274,Arabica,Colombia,2017,Caturra,Washed/Wet,7.92,7.58,7.5,7.83,7.58,7.67,10.0,10.0,10.0,7.75,0.0,1,Green,6,Almacafé,2527.0,83.83,Good Specialty
276,Arabica,Costa Rica,2015,Caturra,Washed/Wet,7.67,7.67,7.75,7.67,7.5,7.75,10.0,10.0,10.0,7.83,0.0,0,Blue-Green,0,Specialty Coffee Association of Costa Rica,1850.0,83.83,Good Specialty
277,Arabica,Guatemala,2016,Bourbon,Washed/Wet,7.75,7.75,7.5,7.75,7.83,7.58,10.0,10.0,10.0,7.67,0.11,0,Green,6,Asociacion Nacional Del Café,1500.0,83.83,Good Specialty
279,Arabica,Brazil,2016,Yellow Bourbon,Natural/Dry,7.25,7.58,7.42,8.0,7.75,7.83,10.0,10.0,10.0,8.0,0.0,0,Green,0,Brazil Specialty Coffee Association,1.0,83.83,Good Specialty
280,Arabica,Taiwan,2014,Typica,Washed/Wet,7.67,7.75,7.67,7.75,7.42,7.75,10.0,10.0,10.0,7.83,0.0,0,Green,1,Specialty Coffee Association,525.0,83.83,Good Specialty
282,Arabica,Brazil,2015,Bourbon,Semi-washed/Semi-pulped,7.67,7.67,7.58,7.5,7.83,8.17,10.0,10.0,9.33,8.08,0.0,0,Green,1,Specialty Coffee Association,1200.0,83.83,Good Specialty
283,Arabica,Costa Rica,2013,Catuai,Washed/Wet,7.83,7.42,7.5,7.83,7.75,7.83,10.0,10.0,10.0,7.67,0.1,0,Green,3,Specialty Coffee Association of Costa Rica,1300.0,83.83,Good Specialty
284,Arabica,Guatemala,2014,Bourbon,Washed/Wet,7.58,7.83,7.33,8.0,7.58,7.75,10.0,10.0,10.0,7.75,0.1,0,Green,1,Asociacion Nacional Del Café,1219.2,83.83,Good Specialty
285,Arabica,Brazil,2014,Yellow Bourbon,Natural/Dry,7.92,7.5,7.33,7.67,8.17,7.5,10.0,10.0,10.0,7.75,0.1,0,Green,0,Specialty Coffee Association,1260.0,83.83,Good Specialty
287,Arabica,Colombia,2013,Caturra,Washed/Wet,7.67,7.58,7.58,7.83,7.58,7.67,10.0,10.0,10.0,7.92,0.11,0,Green,1,Almacafé,1750.0,83.83,Good Specialty
288,Arabica,Guatemala,2013,Bourbon,Washed/Wet,7.5,7.83,7.5,7.83,7.83,7.67,10.0,10.0,10.0,7.67,0.11,0,Green,3,Asociacion Nacional Del Café,1310.64,83.83,Good Specialty
289,Arabica,Mexico,2012,Bourbon,Natural/Dry,7.67,8.0,7.67,7.42,7.67,7.5,10.0,10.0,10.0,7.92,0.1,0,Green,2,AMECAFE,1218.0,83.83,Good Specialty
291,Arabica,Brazil,2012,Yellow Bourbon,Semi-washed/Semi-pulped,7.83,7.83,7.58,7.67,7.5,7.58,10.0,10.0,10.0,7.83,0.12,0,Green,3,NUCOFFEE,1250.0,83.83,Good Specialty
296,Arabica,Brazil,2018,Bourbon,Natural/Dry,7.67,7.67,7.58,7.75,7.67,7.67,10.0,10.0,10.0,7.75,0.11,0,Green,5,Brazil Specialty Coffee Association,890.0,83.75,Good Specialty
297,Arabica,Colombia,2017,Caturra,Washed/Wet,7.83,7.83,7.58,7.58,7.58,7.58,10.0,10.0,10.0,7.75,0.11,0,Green,1,Almacafé,442.0,83.75,Good Specialty
298,Arabica,Taiwan,2016,Typica,Natural/Dry,7.67,7.67,7.58,7.58,7.67,7.83,10.0,10.0,10.0,7.75,0.0,0,Green,0,Specialty Coffee Association,750.0,83.75,Good Specialty
300,Arabica,China,2015,Catimor,Washed/Wet,7.83,7.75,7.67,7.5,7.58,7.67,10.0,10.0,10.0,7.75,0.1,0,Green,2,Yunnan Coffee Exchange,1650.0,83.75,Good Specialty
301,Arabica,Colombia,2016,Caturra,Natural/Dry,7.75,7.67,7.5,7.67,7.58,7.83,10.0,10.0,10.0,7.75,0.0,0,Green,0,Almacafé,442.0,83.75,Good Specialty
302,Arabica,Uganda,2013,Bourbon,Natural/Dry,8.0,7.92,7.58,7.75,7.33,7.5,10.0,10.0,10.0,7.67,0.12,0,Green,0,Uganda Coffee Development Authority,1400.0,83.75,Good Specialty
303,Arabica,United States (Puerto Rico),2013,Other,Washed/Wet,7.83,7.83,7.83,7.67,8.0,8.17,9.33,9.33,10.0,7.75,0.12,0,Green,1,Specialty Coffee Association,853.44,83.75,Good Specialty
304,Arabica,Colombia,2014,Caturra,Washed/Wet,7.67,7.67,7.67,7.92,7.5,7.67,10.0,10.0,10.0,7.67,0.0,0,Green,5,Almacafé,1775.0,83.75,Good Specialty
305,Arabica,Colombia,2014,Other,Washed/Wet,7.67,7.42,7.42,7.42,8.0,8.33,10.0,10.0,10.0,7.5,0.0,0,Green,3,Almacafé,1550.0,83.75,Good Specialty
306,Arabica,Colombia,2013,Caturra,Washed/Wet,7.58,7.67,7.75,7.67,7.67,7.67,10.0,10.0,10.0,7.75,0.0,0,Blue-Green,1,Almacafé,1750.0,83.75,Good Specialty
307,Arabica,Colombia,2013,Caturra,Washed/Wet,7.75,7.67,7.75,7.58,7.42,8.0,10.0,10.0,10.0,7.58,0.11,0,Green,3,Almacafé,1750.0,83.75,Good Specialty
309,Arabica,Mexico,2012,Caturra,Natural/Dry,7.83,7.58,7.58,7.5,7.75,7.67,10.0,10.0,10.0,7.83,0.13,5,None,5,AMECAFE,700.0,83.75,Good Specialty
310,Arabica,Guatemala,2012,Caturra,Washed/Wet,7.67,7.58,7.58,7.67,7.75,7.75,10.0,10.0,10.0,7.75,0.11,0,Bluish-Green,1,Specialty Coffee Association,1300.0,83.75,Good Specialty
314,Arabica,Brazil,2018,Bourbon,Natural/Dry,7.67,7.83,7.5,7.67,7.67,7.5,10.0,10.0,10.0,7.83,0.11,0,Green,2,Brazil Specialty Coffee Association,890.0,83.67,Good Specialty
315,Arabica,Kenya,2017,SL28,Washed/Wet,8.08,7.67,7.67,7.58,7.25,7.67,10.0,10.0,10.0,7.75,0.11,0,Bluish-Green,0,Kenya Coffee Traders Association,1700.0,83.67,Good Specialty
316,Arabica,Honduras,2016,Caturra,Washed/Wet,7.5,7.5,7.67,7.67,8.0,8.0,10.0,10.0,10.0,7.33,0.1,0,Green,2,Instituto Hondureño del Café,1400.0,83.67,Good Specialty
317,Arabica,Nicaragua,2016,Caturra,Washed/Wet,7.67,7.75,7.67,7.67,7.83,7.58,10.0,10.0,10.0,7.5,0.1,0,Green,3,Instituto Hondureño del Café,1250.0,83.67,Good Specialty
318,Arabica,Brazil,2016,Bourbon,Natural/Dry,7.58,7.75,7.58,7.75,7.58,7.58,10.0,10.0,10.0,7.83,0.11,0,Green,3,Brazil Specialty Coffee Association,934.0,83.67,Good Specialty
319,Arabica,Taiwan,2015,Caturra,Natural/Dry,7.5,7.67,7.33,7.92,7.83,7.67,10.0,10.0,10.0,7.75,0.1,0,Bluish-Green,0,Specialty Coffee Association,1200.0,83.67,Good Specialty
323,Arabica,Guatemala,2014,Bourbon,Washed/Wet,8.0,7.5,7.33,8.0,8.0,8.0,9.33,10.0,10.0,7.5,0.1,0,Green,0,Asociacion Nacional Del Café,1356.6648,83.67,Good Specialty
324,Arabica,Colombia,2013,Caturra,Washed/Wet,7.83,7.75,7.67,7.58,7.58,7.67,10.0,10.0,10.0,7.58,0.0,0,Green,3,Almacafé,1750.0,83.67,Good Specialty
325,Arabica,Colombia,2013,Caturra,Washed/Wet,7.67,7.67,7.67,7.67,7.33,7.75,10.0,10.0,10.0,7.92,0.0,0,Green,1,Almacafé,1900.0,83.67,Good Specialty
326,Arabica,Guatemala,2013,Bourbon,Washed/Wet,7.67,7.67,7.42,7.67,8.0,7.75,10.0,10.0,10.0,7.5,0.12,1,Green,3,Asociacion Nacional Del Café,1310.64,83.67,Good Specialty
327,Arabica,Guatemala,2013,Bourbon,Washed/Wet,7.83,7.67,7.33,7.67,7.67,7.83,10.0,10.0,10.0,7.67,0.11,0,Green,2,Asociacion Nacional Del Café,1310.64,83.67,Good Specialty
328,Arabica,Colombia,2012,Caturra,Washed/Wet,7.75,7.75,7.58,7.83,7.17,7.75,10.0,10.0,10.0,7.83,0.11,0,Green,1,Almacafé,1750.0,83.67,Good Specialty
329,Arabica,Guatemala,2012,Caturra,Natural/Dry,8.17,8.17,7.83,7.67,8.08,7.75,9.33,9.33,9.33,8.0,0.11,0,Green,1,Specialty Coffee Association,1450.0,83.67,Good Specialty
330,Arabica,Guatemala,2012,Bourbon,Washed/Wet,7.67,8.17,7.5,7.42,7.58,7.83,10.0,10.0,10.0,7.5,0.11,0,Green,13,Asociacion Nacional Del Café,1310.64,83.67,Good Specialty
331,Arabica,Mexico,2012,Typica,Washed/Wet,7.67,7.5,7.5,7.33,7.83,8.25,10.0,10.0,10.0,7.58,0.12,4,Green,11,AMECAFE,1100.0,83.67,Good Specialty
332,Arabica,Indonesia,2012,Typica,Washed/Wet,8.17,7.67,7.58,7.58,7.42,7.67,10.0,10.0,10.0,7.58,0.12,0,Green,0,Specialty Coffee Association of Indonesia,1400.0,83.67,Good Specialty
333,Arabica,Guatemala,2012,Caturra,Washed/Wet,7.67,7.5,7.33,8.0,7.67,7.67,10.0,10.0,10.0,7.83,0.1,0,Green,0,Asociacion Nacional Del Café,1524.0,83.67,Good Specialty
335,Arabica,Brazil,2018,Bourbon,Natural/Dry,7.58,7.67,7.58,7.58,7.67,7.58,10.0,10.0,10.0,7.92,0.11,0,Green,5,Brazil Specialty Coffee Association,890.0,83.58,Good Specialty
336,Arabica,Guatemala,2016,Caturra,Washed/Wet,7.75,7.75,7.5,7.83,7.58,7.58,10.0,10.0,10.0,7.58,0.11,0,Green,0,Asociacion Nacional Del Café,1128.3696,83.58,Good Specialty
338,Arabica,China,2015,Catimor,Washed/Wet,7.67,7.58,7.58,7.58,7.67,7.75,10.0,10.0,10.0,7.75,0.1,0,Green,4,Yunnan Coffee Exchange,1100.0,83.58,Good Specialty
339,Arabica,Colombia,2015,Caturra,Washed/Wet,7.67,7.75,7.58,7.67,7.75,7.58,10.0,10.0,10.0,7.58,0.12,0,Green,3,Almacafé,1775.0,83.58,Good Specialty
340,Arabica,Mexico,2014,Caturra,Washed/Wet,7.75,7.75,7.58,7.58,7.5,7.67,10.0,10.0,10.0,7.75,0.12,1,Green,13,Asociación Mexicana De Cafés y Cafeterías De Especialidad A.C.,1200.0,83.58,Good Specialty
342,Arabica,Uganda,2013,SL14,Washed/Wet,7.67,7.67,7.42,7.75,7.75,7.67,10.0,10.0,10.0,7.67,0.12,0,Green,5,Uganda Coffee Development Authority,1800.0,83.58,Good Specialty
343,Arabica,Colombia,2014,Caturra,Natural/Dry,7.67,7.58,7.67,7.67,7.67,7.67,10.0,10.0,10.0,7.67,0.0,0,Green,0,Almacafé,1600.0,83.58,Good Specialty
344,Arabica,Colombia,2014,Caturra,Washed/Wet,7.67,7.58,7.67,7.58,7.67,7.75,10.0,10.0,10.0,7.67,0.12,0,Green,1,Almacafé,1550.0,83.58,Good Specialty
346,Arabica,Taiwan,2014,Typica,Other,7.75,7.75,7.75,7.75,7.5,7.58,10.0,10.0,10.0,7.5,0.11,0,Green,0,Blossom Valley International,1000.0,83.58,Good Specialty
347,Arabica,Colombia,2012,Caturra,Washed/Wet,7.67,7.67,7.58,7.67,7.75,7.58,10.0,10.0,10.0,7.67,0.11,0,Green,3,Almacafé,1775.0,83.58,Good Specialty
349,Arabica,Colombia,2012,Caturra,Natural/Dry,7.67,7.58,7.58,7.58,7.67,7.75,10.0,10.0,10.0,7.75,0.11,0,Green,4,Almacafé,2136.0,83.58,Good Specialty
350,Arabica,Brazil,2012,Catuai,Semi-washed/Semi-pulped,7.83,7.75,7.5,7.75,7.5,7.58,10.0,10.0,10.0,7.67,0.12,0,Blue-Green,2,NUCOFFEE,1100.0,83.58,Good Specialty
351,Arabica,Colombia,2016,Caturra,Washed/Wet,7.75,7.58,7.58,7.75,7.75,7.5,10.0,10.0,10.0,7.58,0.0,0,Bluish-Green,5,Almacafé,1799.0,83.5,Good Specialty
353,Arabica,Costa Rica,2015,Caturra,Washed/Wet,7.92,7.42,7.5,7.67,7.5,7.67,10.0,10.0,10.0,7.83,0.0,0,Blue-Green,0,Specialty Coffee Association of Costa Rica,1850.0,83.5,Good Specialty
354,Arabica,Colombia,2016,Caturra,Natural/Dry,7.75,7.58,7.58,7.5,7.75,7.75,10.0,10.0,10.0,7.58,0.0,0,Green,0,Almacafé,1000.0,83.5,Good Specialty
355,Arabica,Guatemala,2016,Bourbon,Washed/Wet,7.67,7.75,7.5,7.83,7.58,7.58,10.0,10.0,10.0,7.58,0.1,0,Bluish-Green,5,Asociacion Nacional Del Café,1219.2,83.5,Good Specialty
356,Arabica,Colombia,2015,Caturra,Washed/Wet,7.58,7.58,7.58,7.58,7.75,7.67,10.0,10.0,10.0,7.75,0.12,0,Green,4,Almacafé,1775.0,83.5,Good Specialty
357,Arabica,"Tanzania, United Republic Of",2015,Ruiru 11,Washed/Wet,7.75,7.67,7.58,7.67,7.67,7.58,10.0,10.0,10.0,7.58,0.13,0,Green,21,Africa Fine Coffee Association,1400.0,83.5,Good Specialty
358,Arabica,Indonesia,2015,Sumatra,Semi-washed/Semi-pulped,7.25,7.67,7.58,7.92,7.83,7.58,10.0,10.0,10.0,7.67,0.13,0,Bluish-Green,8,Specialty Coffee Association,1500.0,83.5,Good Specialty
361,Arabica,Colombia,2014,Caturra,Washed/Wet,8.0,7.58,7.25,7.58,7.92,7.58,10.0,10.0,10.0,7.58,0.11,0,Green,0,Almacafé,1850.0,83.5,Good Specialty
362,Arabica,Guatemala,2013,Caturra,Washed/Wet,7.58,7.75,7.5,7.83,7.42,7.67,10.0,10.0,10.0,7.75,0.1,0,Green,0,Specialty Coffee Association of Costa Rica,1400.0,83.5,Good Specialty
364,Arabica,Honduras,2015,Caturra,Natural/Dry,7.67,7.5,7.67,7.5,7.67,7.67,10.0,10.0,10.0,7.83,0.1,0,Green,3,Instituto Hondureño del Café,1350.0,83.5,Good Specialty
365,Arabica,Colombia,2013,Caturra,Washed/Wet,7.58,7.75,7.42,7.67,7.75,7.67,10.0,10.0,10.0,7.67,0.0,1,Green,1,Almacafé,1750.0,83.5,Good Specialty
366,Arabica,Colombia,2013,Caturra,Washed/Wet,7.58,7.67,7.58,7.75,7.58,7.75,10.0,10.0,10.0,7.58,0.11,0,Green,2,Almacafé,1750.0,83.5,Good Specialty
367,Arabica,Mexico,2012,Bourbon,Natural/Dry,7.83,7.58,7.25,7.5,7.5,7.42,10.0,10.0,10.0,8.42,0.13,0,Green,14,AMECAFE,1170.0,83.5,Good Specialty
368,Arabica,Mexico,2012,Typica,Semi-washed/Semi-pulped,7.67,7.75,7.67,7.75,7.58,7.5,10.0,10.0,10.0,7.58,0.11,0,Green,12,AMECAFE,940.0,83.5,Good Specialty
369,Arabica,Mexico,2012,Pacamara,Washed/Wet,7.75,7.67,7.67,7.75,7.33,7.5,10.0,10.0,10.0,7.83,0.12,0,Green,0,AMECAFE,1400.0,83.5,Good Specialty
370,Arabica,Guatemala,2012,Caturra,Washed/Wet,7.83,7.5,7.5,8.0,7.67,7.5,10.0,10.0,10.0,7.5,0.1,0,Green,5,Asociacion Nacional Del Café,1524.0,83.5,Good Specialty
371,Arabica,Colombia,2012,Caturra,Washed/Wet,7.67,7.58,7.58,7.67,7.67,7.67,10.0,10.0,10.0,7.67,0.11,0,Green,0,Almacafé,1775.0,83.5,Good Specialty
372,Arabica,Guatemala,2012,Bourbon,Washed/Wet,7.5,7.5,7.75,7.5,8.0,7.67,10.0,10.0,10.0,7.58,0.0,3,Green,12,Specialty Coffee Association,1402.08,83.5,Good Specialty
375,Arabica,Colombia,2018,Caturra,Washed/Wet,7.5,7.58,7.58,7.5,7.75,7.83,10.0,10.0,10.0,7.67,0.0,0,Green,1,Almacafé,439.0,83.42,Good Specialty
376,Arabica,Guatemala,2017,Bourbon,Washed/Wet,7.67,7.75,7.5,7.58,7.58,7.67,10.0,10.0,10.0,7.67,0.1,0,Green,3,Asociacion Nacional Del Café,1700.0,83.42,Good Specialty
377,Arabica,Colombia,2016,Caturra,Washed/Wet,7.67,7.67,7.5,7.67,7.67,7.58,10.0,10.0,10.0,7.67,0.11,0,Green,2,Almacafé,442.0,83.42,Good Specialty
378,Arabica,Costa Rica,2016,Caturra,Washed/Wet,7.58,7.5,7.42,7.92,7.5,7.67,10.0,10.0,10.0,7.83,0.09,0,Blue-Green,4,Specialty Coffee Association of Costa Rica,1850.0,83.42,Good Specialty
380,Arabica,Uganda,2015,SL14,Washed/Wet,7.58,7.75,7.33,7.75,7.67,7.58,10.0,10.0,10.0,7.75,0.11,0,Green,1,Uganda Coffee Development Authority,1800.0,83.42,Good Specialty
381,Arabica,Thailand,2015,Catimor,Washed/Wet,7.5,7.58,7.75,7.5,7.75,7.67,10.0,10.0,10.0,7.67,0.13,0,Bluish-Green,0,Specialty Coffee Institute of Asia,1200.0,83.42,Good Specialty
383,Arabica,Colombia,2015,Caturra,Natural/Dry,7.58,7.67,7.58,7.67,7.58,7.67,10.0,10.0,10.0,7.67,0.12,4,Green,0,Almacafé,442.0,83.42,Good Specialty
385,Arabica,"Tanzania, United Republic Of",2014,Bourbon,Washed/Wet,7.75,7.67,7.58,7.67,7.58,7.58,10.0,10.0,10.0,7.58,0.13,0,Green,4,Africa Fine Coffee Association,1600.0,83.42,Good Specialty
386,Arabica,Colombia,2015,Caturra,Washed/Wet,7.58,7.58,7.25,7.75,7.75,8.58,9.33,10.0,10.0,7.58,0.12,0,Green,1,Almacafé,1813.0,83.42,Good Specialty
387,Arabica,Guatemala,2013,Bourbon,Natural/Dry,7.75,7.83,7.33,7.83,7.5,7.67,10.0,10.0,10.0,7.5,0.1,0,Green,1,Asociacion Nacional Del Café,1219.2,83.42,Good Specialty
388,Arabica,Guatemala,2014,Caturra,Washed/Wet,7.67,7.75,7.5,7.83,7.58,7.5,10.0,10.0,10.0,7.58,0.1,0,Green,2,Asociacion Nacional Del Café,1500.0,83.42,Good Specialty
389,Arabica,Guatemala,2013,Bourbon,Washed/Wet,7.67,7.5,7.75,7.42,7.75,7.75,10.0,10.0,10.0,7.58,0.11,0,Green,0,Asociacion Nacional Del Café,1310.64,83.42,Good Specialty
391,Arabica,Colombia,2012,Caturra,Washed/Wet,7.5,7.75,7.58,7.5,7.67,7.75,10.0,10.0,10.0,7.67,0.11,0,Green,2,Almacafé,1450.0,83.42,Good Specialty
399,Arabica,Brazil,2016,Catuai,Semi-washed/Semi-pulped,7.5,7.83,7.33,7.58,7.58,7.92,10.0,10.0,10.0,7.58,0.1,1,Green,5,Specialty Coffee Association,1227.0,83.33,Good Specialty
400,Arabica,Mexico,2014,Caturra,Washed/Wet,7.75,7.75,7.5,7.67,7.5,7.58,10.0,10.0,10.0,7.58,0.12,0,Green,2,Asociación Mexicana De Cafés y Cafeterías De Especialidad A.C.,1200.0,83.33,Good Specialty
401,Arabica,Colombia,2015,Caturra,Washed/Wet,7.67,7.75,7.42,7.83,7.83,7.42,10.0,10.0,10.0,7.42,0.11,0,Green,1,Almacafé,1650.0,83.33,Good Specialty
402,Arabica,"Tanzania, United Republic Of",2014,Other,Semi-washed/Semi-pulped,7.75,7.58,7.67,7.58,7.58,7.58,10.0,10.0,10.0,7.58,0.12,0,Green,6,Africa Fine Coffee Association,1700.0,83.33,Good Specialty
403,Arabica,Mexico,2013,Other,Washed/Wet,7.67,7.67,7.58,7.67,7.5,7.58,10.0,10.0,10.0,7.67,0.12,0,Green,0,AMECAFE,1100.0,83.33,Good Specialty
404,Arabica,Costa Rica,2014,Caturra,Washed/Wet,7.67,7.67,7.42,7.67,7.67,7.67,10.0,10.0,10.0,7.58,0.12,0,Green,3,Specialty Coffee Association,1300.0,83.33,Good Specialty
